P,D,question_num,text,answer,source_type,subject,topic,Bloom_level,keywords,,,,,,,,
40,35,110_28,"1720年,某地的商業組織制訂「行規」,部分條文內容如下:華夷商民一視同仁,各行商應與夷商相聚一堂,共同議價,其有單獨行為者應受處罰。他處或他省商人來省與夷商交易時,本行應與之協訂貨價,俾得賣價公道;有自行訂定貨價或暗中購入貨物者罰。制訂這份文書者最可能是:<br>(A)廣州公行代表<br>(B)鹿港行郊郊商<br>(C)香港殖民政府<br>(D)天津通商大臣",A,學測單選題,明清,經濟,了解,廣州/公行/一口通商/行規/貿易,,,,,,,,
79,43,110_29,"某一時期,主事者推動一項政策:將工、農、學、兵結合在一起,便於領導。大部分人民編入組織,私人物品如鍋、盆、桌、椅都交給公家,以便共同生活、共同生產。不分男女都要工作,兒童都送到托兒所,甚至設置食堂,免費供應食物和必需品。原本希望建立自給自足的社會,結果卻造成工業停頓,經濟倒退,國民生產總值大幅減少。這最可能是何種制度或組織?<br>(A)1853年太平天國天朝田畝制<br>(B)1900年山東的義和團組織<br>(C)1931年江西的中華蘇維埃<br>(D)1958年華北各地人民公社",D,學測單選題,中華人民共和國,社會,記憶,人民公社/大躍進/公共食堂/集體生活/共產主義,,,,,,,,
26,26,110_30,"倫敦泰晤士河邊的一座紀念牌說明當地曾為一個商業團體的遺址。這個商業團體於十三世紀逐漸形成後,一直在北海與波羅的海間貿易,並沿泰晤士河、萊茵河與窩瓦河等主要河流,進入內陸貿易,商業路線還遠達俄羅斯。這個商業團體甚至擁有武力,在許多地方建立行政機構。這個團體最可能是:<br>(A)德意志商人為主的漢撒同盟<br>(B)活躍於地中海的威尼斯商社<br>(C)英格蘭商人為主的布商公會<br>(D)經營亞洲的荷蘭東印度公司",A,學測單選題,中世紀,經濟,記憶,漢撒同盟/商業團體/波羅的海/北海/中世紀貿易,,,,,,,,
53,30,110_31,"一位大臣向皇帝稟告:朝廷已三十多年未遷徙百姓守先帝陵墓,如今關東地區甚多富人,富人購買良田,招貧民耕種。他建議繼續推行遷徙,讓富人搬到首都附近的陵墓區,一方面壯大首都,衰弱王室諸侯;一方面可平均中等以下家庭的貧富差距。此政策因地方豪強抵制,且違背朝廷推動的孝道而難以執行。這最可能發生於:<br>(A)重視儒術的漢代<br>(B)偏安江南的東晉<br>(C)崇尚胡風的唐代<br>(D)推行科舉的宋代",A,學測單選題,秦漢,政治,分析,漢代/遷徙/守陵/豪強/強幹弱枝,,,,,,,,
63,40,110_32,"某一時期,有人記錄在中國旅行的見聞:漢字不像西方文字橫排書寫,由字母組成,而是由上而下的直排,每個字都有特定的符號,鄰近民族也都能認識。進入中國人的家中,一定有人端上一種顏色淡紅的溫水,以一種有苦味的草製成,有一股藥味,他們稱其為茶。這份記錄最可能出自:<br>(A)十六世紀來華傳教的耶穌會士,開始認識中國文化<br>(B)十七世紀入主中國的滿洲皇族,體會北京日常生活<br>(C)十八世紀來華朝貢的安南貢使,走訪中國風土民情<br>(D)十九世紀來華經商的英國商人,看到新奇特有事物",A,學測單選題,明清,文化,分析,耶穌會士/傳教士/文化觀察/漢字/茶,,,,,,,,
89,22,111_5,"某校歷史課程進行「歷史考察」學習時,要求同學事先蒐集族譜、臺灣總督府旅券（護照）、同鄉會名簿等史料,並進入內政部網站閱讀人口和戶口調查資料。該「歷史考察」的主題最可能是:<br>(A)人群的移動與交流<br>(B)國家的建立與形塑<br>(C)文化的類型與變遷<br>(D)宗教的起源與傳播",A,學測單選題,移民,社會,了解,族譜/臺灣總督府/旅券/戶口/人群移動,,,,,,,,
79,45,111_6,"一位學者提到:過去歷史研究的主體,往往偏重於統治者的歷史,比較忽略人民的歷史,其實,人民才是我們應該關心的主體。下列哪個主題最接近這位學者主張的研究方向?<br>(A)鄭氏王朝在臺的屯田政策<br>(B)清代臺灣職官制度的演變<br>(C)清代臺灣沿海的王爺信仰<br>(D)日本在臺殖民體制的建立",C,學測單選題,清治臺灣,文化,了解,庶民史/王爺信仰/歷史研究/由下而上/人民的歷史,,,,,,,,
47,47,111_7,"二十世紀初期,某人嚴厲抨擊貨幣的使用:「誰還需要該死的貨幣?生活意味著食物、衣服、房子與休息,沒有貨幣這種金屬與碎紙片,我們依然可以快樂生活。貨幣將會失去意義,政府應以實物取代貨幣,作為工作所得」。此人的論述反映下列哪個主義的觀點?<br>(A)重商主義<br>(B)自由主義<br>(C)共產主義<br>(D)法西斯主義",C,學測單選題,社會主義,經濟,了解,共產主義/貨幣/實物/社會主義/經濟思想,,,,,,,,
68,54,111_8,"中國傳統政治制度歷經漢、唐的演變而大備,日、韓等國立國較晚,其各種制度參酌中國者甚多,也有徒取其形式而忽略其精神的。例如:有某個制度在中國具有公平與促進社會流動的意義,在東亞的日本、朝鮮卻成為保障特定對象的工具。這個制度最可能是:<br>(A)戶籍<br>(B)律令<br>(C)賦役<br>(D)科舉",D,學測單選題,隋唐,政治,了解,科舉/社會流動/日本/朝鮮/東亞,,,,,,,,
18,19,111_9,"十五至十六世紀間,某王國曾興建一座大型的宮殿,此建築物分為三部分:正殿為國王舉行各種典禮和議政的場所;北殿專為接待中國的冊封使之用;南殿則自十七世紀初期開始,用來接待日本薩摩藩官員。該宮殿最可能位於:<br>(A)朝鮮<br>(B)暹羅<br>(C)安南<br>(D)琉球",D,學測單選題,日本,政治,記憶,琉球/冊封/薩摩藩/中國/日本,,,,,,,,
17,-13,111_11,"清宣統三年十二月二十五日(1912年2月12日),清帝溥儀頒布退位詔書。但在國立故宮博物院典藏的清代檔案中,發現一件進呈給溥儀的奏摺,時間標註為「宣統十六年七月」。我們應如何解釋這個現象?<br>(A)宣統朝只有三年,應該是清政府官員誤植年代的奏摺<br>(B)清帝雖退位,政府仍同意其繼續使用帝號和原有紀年<br>(C)洪憲帝制時,為獲滿族支持而以宣統紀年進呈的奏摺<br>(D)滿洲國成立,其政府官員上奏給溥儀,故以宣統紀年",B,學測單選題,中華民國,政治,了解,溥儀/退位/宣統/清室優待條件/紀年,,,,,,,,
47,25,111_12,"金門有許多洋樓,建築上裝飾著象徵吉祥如意的鳳梨、祈求多子多孫的麥穗、象徵科舉及第的螃蟹(以「甲殼」比喻「科甲」)、表示時間的西洋時鐘或扛著屋簷的印度苦力(象徵屋主的社會地位)。這些建築裝飾反映以下何種歷史現象?<br>(A)荷蘭人主導遠東貿易時期,當時盛行的建築風格也流傳至金門<br>(B)鄭成功家族前往巴達維亞貿易,並將當地的建築特色帶回金門<br>(C)民國早期,僑民從南洋帶回西方建築風格並融入金門傳統裝飾<br>(D)日本占領金門時,其商人引進當時歐洲最流行的巴洛克式裝飾",C,學測單選題,華人/移民,文化,了解,金門/洋樓/僑民/南洋/建築風格,,,,,,,,
59,15,111_13,"據統計,二次世界大戰期間德國平民死亡約 117 萬人,占該國 1939 年總人口1.6%;蘇聯平民死亡約 1400 萬人,占該國 1939年總人口 7.3%。蘇聯平民死亡人數與比率均遠多於德國的原因為何?<br>(A)納粹黨在東歐多處設立大型滅絕營,用毒氣殺害當地人<br>(B)蘇聯是主要戰場,戰火摧殘人命外,還有缺糧飢荒問題<br>(C)德、義、日軸心國武器優越,超過蘇聯、英、美同盟國<br>(D)為對付全球反共產勢力,大量的蘇聯士兵駐防東歐國家",B,學測單選題,蘇聯,政治,了解,二次世界大戰/蘇聯/平民死亡/東線戰場/戰爭,,,,,,,,
44,36,111_15,"中國的百貨公司成立以來,多以「洋貨」為主打商品。民國初年,某一事件發生期間,上海一間百貨公司在報紙上刊登「敬告國人書」:「外交失敗,悲憤同深,....敝公司雖係統辦環球貨品,然宗旨首重國貨,歐美貨次之,其某國貨,則僅供市上之需求耳。」並表示某國貨品存貨出清,即不再販售。不過,抵制某國貨品的聲浪如排山倒海而來,該公司只好再度聲明:概將某國貨品「完全收束不賣,寧願犧牲血本,以示與眾共棄之決心。」請問「某一事件」指的是:<br>(A)三一運動<br>(B)五四運動<br>(C)九一八事變<br>(D)七七事變",B,學測單選題,中華民國,社會,了解,五四運動/抵制日貨/國貨/民族主義/社會運動,,,,,,,,
36,9,111_16,"一份資料提到:1933 年的雙十國慶酒會選在臺北的鐵道旅館舉辦,出席的貴賓有美國、義大利駐臺領事及臺灣總督府高級長官。會場懸掛中華民國國旗,慶典中除演奏中華民國國歌外,還高呼「中華民國萬歲」。這段資料如何解讀最合理?<br>(A)當時滿洲國成立不久,日本乃邀請滿洲國官員來臺舉辦慶祝雙十國慶活動<br>(B)當時中日兩國的關係親密和善,臺灣總督府乃主動舉辦慶祝雙十國慶酒會<br>(C)當時來臺的中國僑民日多,國府已在臺北設立領事館,故能舉辦國慶活動<br>(D)當時的臺灣總督府正在進行皇民化政策,故舉辦雙十酒會來攏絡臺灣人民",C,學測單選題,日治臺灣,政治,分析,日治臺灣/雙十國慶/中華民國/領事館/僑民,,,,,,,,
41,19,111_17,"某國的動力織布機技術在十九世紀初獨步全球,該國嚴格控管此關鍵技術,避免秘密外洩。一名外國技師刻意潛入該國工廠學習,花費六個月將所有技術細節記在腦中,回國後憑記憶建立相同的動力織布工廠,推動自己國家的工業技術革新。此情況最可能是:<br>(A)他從英國偷學技術,帶回美國<br>(B)他從英國偷學技術,帶回日本<br>(C)他從美國偷學技術,帶回印度<br>(D)他從美國偷學技術,帶回俄國",A,學測單選題,工業革命/美國,經濟,記憶,工業革命/動力織布機/英國/美國/技術轉移,,,,,,,,
75,42,112_5,"學者在臺灣北部的十三行遺址中,發現七世紀中國與十七世紀日本鑄造的兩種銅錢,並指出它們是出土於墓葬的陪葬品。這些銅錢可用於討論臺灣史前文化的哪項議題？<br>(A)文化的傳承關係<br>(B)東亞各國的交流<br>(C)交易的貨幣單位<br>(D)人群遷徙的方向",B,學測單選題,史前臺灣,經濟,了解,十三行遺址/史前臺灣/銅錢/東亞交流/貿易,,,,,,,,
83,23,112_6,"西漢初年,政府官員主要由宗室、軍人、富人組成。漢武帝推動政制改革,採納董仲舒建議,擴大推行察舉制度,大量任用讀書人為官。下列何者最適合描述漢武帝採納董仲舒建議所造成的結果？<br>(A)地方權力提高,君權弱化<br>(B)儒生成為官員的主要來源<br>(C)政府壓抑商人,經濟停滯<br>(D)政府建立官員的輪調制度",B,學測單選題,秦漢,政治,了解,漢武帝/董仲舒/察舉制度/儒生/官員選拔,,,,,,,,
85,27,112_7,"十九世紀中期有人在某個紀念日控訴:「各位,我與我所代表的人,跟你們的紀念日有何關連?你們歷史上偉大宣言所揭櫫的偉大原則,有擴及到我們嗎?我們並不被包括在這個紀念日內,我們與你們是不平等的。你們前輩留下的遺產:正義、自由、繁榮與獨立,只由你們享受,而我們沒有。」這個控訴最可能發表於:<br>(A)美國獨立紀念日;控訴黑人與白人不平等<br>(B)拿破崙戰爭紀念日;控訴女性與男性不平等<br>(C)俄國革命紀念日;控訴勞動者與資本家不平等<br>(D)印度獨立紀念日;控訴印度教徒與穆斯林不平等",A,學測單選題,美國,社會,分析,美國/獨立紀念日/黑人/種族不平等/廢奴運動,,,,,,,,
52,32,112_8,"十七世紀西班牙傳教士提及:中國商人帶大量貨物來基隆,若貨物只能賣給西班牙駐軍,駐軍又因未領薪而缺錢購買商品,那麼中國商人將不再來基隆貿易。由此來看,基隆吸引中國商人前來貿易的主因是:<br>(A)此處為天然良港,適合作為貿易據點<br>(B)當地有西班牙駐軍,可保障交易安全<br>(C)在此處與駐軍貿易,可取得美洲白銀<br>(D)港區已是龐大市場,有利於發展貿易",C,學測單選題,大航海時代,經濟,分析,西班牙/基隆/貿易/中國商人/美洲白銀,,,,,,,,
43,32,112_9,"泉州又名刺桐城,宋元時期是海外貿易重要港口,曾發現一方波斯人墓碑,刻有漢文、阿拉伯文與波斯文。阿拉伯文為:「人人都要嚐死的滋味。」波斯文為:「艾哈瑪德·本·和加·哈基姆·艾勒德死於艾哈瑪德家族母親的城市—刺桐城。」漢文為:「先君生於壬辰六月二十三日申時,享年三十歲。於元至治辛酉九月二十五日卒,遂葬於此。」此墓碑可作為下列哪項描述宋元時期泉州波斯人的佐證？<br>(A)經商客死他鄉者多<br>(B)會與漢人相互通婚<br>(C)全數已經改信回教<br>(D)採用儒家喪葬儀式",B,學測單選題,宋元,社會,分析,泉州/宋元/波斯人/墓碑/通婚,,,,,,,,
61,33,112_10,"十九世紀晚期臺灣開港通商,西方傳教士來傳教,但在漢人市街多遇反彈,故部分傳教士在洋行商人協助下,進入淺山地區的「熟番」部落傳教。此傳教活動範圍的擴張最可能和洋行商人經營哪項事業有關？<br>(A)種椰取汁<br>(B)圍獵捕鹿<br>(C)插蔗煮糖<br>(D)伐樟結腦",D,學測單選題,清治臺灣,經濟,了解,開港通商/傳教士/熟番/洋行/樟腦,,,,,,,,
33,-4,112_11,"日治時期某報紙發刊詞提及:「……臺灣學堂裡的教科(科目),又多不用到漢文,對於漢文一學很不用工(很消極)……漢文因這樣難懂又沒獎勵的機會,所以我們臺灣的兄弟自二十年來已經廢棄不慣了。」此發刊詞的寫作背景,和日本殖民政府正在推行的哪項政策有關？<br>(A)因應教師、通譯的需求,成立國語學校<br>(B)公學校皆改為國民學校,推動義務教育<br>(C)推行日臺共學,常用日語者可入小學校<br>(D)日本領臺初期,將書房、義塾納入管理",C,學測單選題,日治臺灣,文化,了解,日治臺灣/漢文/日臺共學/語言政策/教育,,,,,,,,
50,32,112_12,"某一歷史時期的移民群體,遷居已經八、九代,以領俸祿為生,若有土地也全交給佃客耕種,而不親自下田,完全不懂人情世故,所以當官不明事理,治家也不行。這種現象最可能出現於何時？<br>(A)春秋時期<br>(B)兩漢時期<br>(C)魏晉時期<br>(D)宋明時期",C,學測單選題,魏晉南北朝,社會,了解,魏晉/南渡/士族/僑姓/門閥,,,,,,,,
58,34,112_13,"一份資料寫道:「痛只痛,甲午年,打下敗陣。痛只痛,庚子歲,慘遭殺傷。痛只痛,割去地,萬古不返。痛只痛,所賠款,永世難償。……雪仇恥,驅外族,復我冠裳。到那時,齊叫道,中華萬歲。」這份資料最可能出自哪份文件？<br>(A)太平天國時,洪李太平軍的告民書<br>(B)戊戌變法後,康、梁維新派的宣言<br>(C)八國聯軍後,革命黨人的宣傳書冊<br>(D)立憲運動時,各省仕紳的改革方案",C,學測單選題,明清,政治,了解,甲午戰爭/庚子拳亂/革命黨/排滿/宣傳品,,,,,,,,
45,22,112_14,"學者指出,蒙古人統治各地區後,對各地宗教都一視同仁而給予優遇;在元代戶口職業世襲制度下,儒戶待遇約略等於佛僧和道士,是諸色戶口職業中較受優遇的一種,娼人地位遠低於儒戶,只是元代士人的仕進機會與在社會上所受尊崇不如前後各代。根據題文,以下何者最能說明元代統治者對儒士的立場？<br>(A)對儒士抱持懷柔寬容的態度<br>(B)與其他世襲戶口均平等對待<br>(C)貶抑儒士而削減其入仕機會<br>(D)類同宗教神職人員予以尊重",D,學測單選題,宋元,社會,分析,元代/儒戶/戶計制度/儒士/社會地位,,,,,,,,
25,21,112_16,"某國文化部長憤怒的說:「許多我國古代雕像都在別國博物館內,這些雕像原本在宗教建築內。後來基督信仰普及、伊斯蘭勢力也進來,都說雕像是異教物而棄置,建築物被當成彈藥庫,毀壞後成了大廢墟。接著一些外國人來,欣賞廢墟又喜愛殘破雕像,說這是文明成就,而且把雕像帶回國,至今不願歸還我們,還強辯說是合法取得的藝術品!」文化部長批評的是:<br>(A)十字軍東征時,士兵從西亞的墓穴取下雕像<br>(B)鄂圖曼帝國時,土耳其人拿下東歐教堂雕像<br>(C)西方帝國主義擴張時,英國人帶走希臘雕像<br>(D)英法聯軍侵略中國時,帶走了圓明園內雕像",C,學測單選題,古希臘,文化,了解,希臘/英國/鄂圖曼帝國/帕德嫩神廟/文化資產,,,,,,,,
32,37,112_17,"一位歷史人物的紀念展覽開幕時,貴賓致詞重點如下:<br>甲:「他認為暴君違反上帝旨意,人民有責任抵抗,我們祖先依此說法開始反抗,十七世紀終於成為主權獨立國家。」<br>乙:「他的論點為資本主義提供道德支撐,促使我們在十七世紀成為資本主義富裕之國與海外貿易強權。」<br>丙:「今日我們北部有些社區人民不看電視、不設網路,仍然嚴格遵守他當時拒絕娛樂文化的教導。」<br>這個展覽最可能是:<br>(A)尼德蘭紀念喀爾文<br>(B)德國紀念馬丁路德<br>(C)英國紀念亞當斯密<br>(D)法國紀念孟德斯鳩",A,學測單選題,宗教改革,文化,分析,喀爾文/宗教改革/尼德蘭/資本主義/新教倫理,,,,,,,,
57,42,112_19,"十五至十七世紀馬來半島南部海岸,有許多自殖民母國遷入該地的男性商人、船員與苦力,在與當地女性通婚後,逐漸在當地形成一混血的少數族群,並保有原鄉海神節的慶典習俗。該族群在節慶當天,會先在海邊進行彌撒,接著抬出聖彼得神像遊行,最後來到船隻旁灑聖水祈福。根據前述,該族群的先人最可能來自下列哪個地區？<br>(A)中國東南沿海<br>(B)西亞肥沃月灣<br>(C)澳洲東部沿岸<br>(D)伊比利半島西部",D,學測單選題,東南亞/葡萄牙,文化,分析,馬來半島/葡萄牙/天主教/聖彼得/文化融合,,,,,,,,
86,26,113_3,"小宜在書上讀到一段資料:「十七世紀以後,咖啡風行歐洲,帶動咖啡消費風氣,使之成為大眾化飲料,歐洲各國其後也開始在殖民地大量種植咖啡。」依據此段歷史敘述,小宜推斷當時的咖啡市場價格應該會下跌。依市場分析,其推論之依據應為下列何者?<br>(A)咖啡已經成為大眾化飲品,消費市場便容易發生短缺<br>(B)咖啡消費需求增加,但殖民地大量種植供給增加更大<br>(C)歐洲各國在殖民地種植咖啡後,同步刺激了消費成長<br>(D)政府預期咖啡價格將有大波動,採取了價格管制政策",B,學測單選題,全球化,經濟,了解,咖啡/殖民地/供給與需求/市場價格/全球貿易,,,,,,,,
44,45,113_4,"十七世紀荷蘭人來臺後,西班牙官員的報告提到:「荷蘭與日本帶給我們極大的損失,如去年荷蘭人擄獲一艘我國船隻,船上載著大量銀兩。……我建議在臺灣的另一個港口取得據點,便可將荷蘭人逐出他們的現居地。如果國王能在那裡建一商館,將使我們的根據地回復舊時榮光。」報告中「另一個港口」和「根據地」分別是指:<br>(A)打狗、澳門<br>(B)基隆、馬尼拉<br>(C)安平、麻六甲<br>(D)淡水、巴達維亞",B,學測單選題,大航海時代,政治,了解,荷蘭/西班牙/臺灣/基隆/馬尼拉,,,,,,,,
69,15,113_5,"在歷史課程中,某生找到一份有關南宋繁華城市的資料:城中的民家緊鄰壕溝,甚至跨溝造屋而居,人們多將垃圾、穢物等丟棄溝中,不僅處處汙穢潮濕,偏街窄巷的氣味更讓人掩鼻難耐。根據上述資料分析,下列哪個推論最合理?<br>(A)政府忙於抗金,無力管理居民<br>(B)瘴癘盛行,導致城市惡臭潮濕<br>(C)坊市瓦解,無力維修城郭街道<br>(D)城市人口密集,公共衛生欠佳",D,學測單選題,宋元,社會,了解,南宋/城市/人口密集/公共衛生/坊市制度,,,,,,,,
52,7,113_6,"美國前國防部長檢討越戰失利,指出:「美國錯以為當地人會為自由民主而戰,我們以為好的,對越南人而言,未必一定是好的,這反映我們對當地歷史、文化、政治的無知。我們又不肯承認現代軍事科技在面對北越陣營士氣高昂時,仍有力不從心之處。」他認為美國的錯誤最主要是:<br>(A)美國出兵越南不符合國家利益<br>(B)美國軍事科技的能力有侷限性<br>(C)越南因信奉共產主義而反民主<br>(D)忽略越南人民的民族獨立意志",D,學測單選題,美國/越南,政治,分析,越戰/美國/民族主義/獨立意志/文化差異,,,,,,,,
29,14,113_7,"某生進行探究學習時,根據明代《寧波府志》的資料,整理出 1522至1542年間鄞縣等地的人口資料(表1)。比對史書記載,發現此時期該地區並無大的天災或戰亂,按理戶數和人口數應會增加,但實則不然。針對上述現象,以下哪個解釋最合理?<br>(A)明代簡化賦役為按土地人丁徵銀,官員不再精算戶、口數<br>(B)當地官員為維持轄下治安,強制將新增加的人口遷移他處<br>(C)當地鄰近海口,大量人民搭乘海船前往遼東地區開墾荒地<br>(D)明代實施海禁,當地由於海盜猖獗,政府乃限制移民進入",A,學測單選題,明清,經濟,了解,明代/一條鞭法/賦役/人口統計/戶口,,,,,,,,
81,38,113_9,"為開發山林資源,日治前期延續清代臺灣山區的隘防政策,以防堵原住民。根據表2呈現的官隘與民隘人數變化,可說明日治前期隘防政策的哪種發展趨勢?<br>(A)官方僱用平埔族人防禦<br>(B)山區防禦漸由官方主導<br>(C)從武力鎮壓到安撫教化<br>(D)山區居民漸被官方撤離",B,學測單選題,日治臺灣,政治,分析,日治臺灣/隘勇/隘防政策/官方主導/原住民,,,,,,,,
70,24,113_10,"1960年美國總統候選人尼克森表示:中國共產黨聲明,攻擊沿海小島只是拿下臺灣的前奏。一旦中共發動對臺灣的攻擊,美國將站在盟友這邊,如同對歐洲某個城市的支持一樣。他說的沿海小島和歐洲城市分別指:<br>(A)金門、柏林<br>(B)大陳、倫敦<br>(C)澎湖、巴黎<br>(D)馬祖、華沙",A,學測單選題,中華民國,政治,記憶,金門/柏林/尼克森/冷戰/臺灣,,,,,,,,
36,34,113_11,"某本歷史教科書在最後一節「未來的世界」中有如下結論:「國民黨領導的國民革命是世界革命的準繩,三民主義將取代帝國主義和社會主義,成為領導人類建立大同世界的普遍理念,中國對於這一目標的實現負有不可推卸的責任。」這最可能是何時、何地的教科書?<br>(A)1910年代初的北京<br>(B)1930年代初的上海<br>(C)1960年代末的南京<br>(D)1990年代末的香港",B,學測單選題,中華民國,政治,了解,國民黨/三民主義/教科書/意識形態/南京國民政府,,,,,,,,
62,34,113_12,"日本某位天皇在位期間,曾將國有土地分授給人民,並規定不得買賣,死後必須歸還政府;同時,政府也向人民徵收穀物、布疋,以及要求貢納各鄉土的特產。上述措施,最可能受到中國哪個制度的影響?<br>(A)三國戶調制<br>(B)西晉占田制<br>(C)唐代租庸調法<br>(D)明代一條鞭法",C,學測單選題,日本,政治,了解,日本/大化革新/班田收授法/租庸調法/唐代,,,,,,,,
